CustomerID,CustomerName,DOB,Email,Region,AnnualIncome,RiskBand
C000001,Customer 0001,1996-07-03,customer1@example.co.uk,South East,36592,Low
C000002,Customer 0002,1988-10-06,customer2@example.co.uk,Scotland,51256,Low
C000003,Customer 0003,2003-02-03,customer3@example.co.uk,London,93482,Low
C000004,Customer 0004,1994-08-08,customer4@example.co.uk,North West,25905,Low
C000005,Customer 0005,2016-04-14,customer5@example.co.uk,Scotland,25478,Medium
C000006,Customer 0006,2004-04-25,customer6@example.co.uk,North West,93426,Low
C000007,Customer 0007,1984-06-16,customer7@example.co.uk,Wales,58463,Medium
C000008,Customer 0008,1999-06-06,customer8@example.co.uk,South West,42926,Medium
C000009,Customer 0009,1999-04-07,customer9@example.co.uk,London,42379,Low
C000010,Customer 0010,2000-04-08,customer10@example.co.uk,Wales,34156,Low
C000011,Customer 0011,1986-02-11,customer11@example.co.uk,Scotland,67082,Medium
C000012,Customer 0012,2001-02-22,customer12@example.co.uk,London,82217,Low
C000013,Customer 0013,2012-05-13,customer13@example.co.uk,North West,94357,Low
C000014,Customer 0014,2015-10-09,customer14@example.co.uk,London,69400,Medium
C000015,Customer 0015,1997-02-23,customer15@example.co.uk,London,28006,Medium
C000016,Customer 0016,2001-03-20,customer16@example.co.uk,South West,52512,Medium
C000017,Customer 0017,2000-07-13,customer17@example.co.uk,South East,81429,Medium
C000018,Customer 0018,2014-03-25,customer18@example.co.uk,South West,70520,Low
C000019,Customer 0019,1991-11-04,customer19@example.co.uk,North West,31358,Medium
C000020,Customer 0020,2001-03-09,customer20@example.co.uk,South West,54087,Low
C000021,Customer 0021,1998-09-18,customer21@example.co.uk,Wales,95000,Low
C000022,Customer 0022,1985-08-09,customer22@example.co.uk,Wales,29331,Low
C000023,Customer 0023,1987-02-19,customer23@example.co.uk,South East,63347,Low
C000024,Customer 0024,2006-07-24,customer24@example.co.uk,Midlands,63245,Low
C000025,Customer 0025,1990-06-06,customer25@example.co.uk,South East,82142,Low
C000026,Customer 0026,2010-05-22,customer26@example.co.uk,Midlands,92644,Low
C000027,Customer 0027,1990-05-16,customer27@example.co.uk,North West,74350,Low
C000028,Customer 0028,1986-04-12,customer28@example.co.uk,Wales,86686,Low
C000029,Customer 0029,1991-05-06,customer29@example.co.uk,Wales,36371,Low
C000030,Customer 0030,2001-06-05,customer30@example.co.uk,Midlands,77333,Medium
C000031,Customer 0031,2008-12-25,customer31@example.co.uk,Wales,83348,Low
C000032,Customer 0032,1989-04-21,customer32@example.co.uk,Scotland,23504,Medium
C000033,Customer 0033,2012-12-01,customer33@example.co.uk,South West,92381,Medium
C000034,Customer 0034,1991-04-06,customer34@example.co.uk,Midlands,36621,Low
C000035,Customer 0035,2016-06-13,customer35@example.co.uk,South West,22425,High
C000036,Customer 0036,2006-12-09,customer36@example.co.uk,London,87612,Medium
C000037,Customer 0037,2006-12-09,customer37@example.co.uk,North West,61117,Medium
C000038,Customer 0038,1991-05-31,customer38@example.co.uk,North West,48071,Low
C000039,Customer 0039,2011-01-13,customer39@example.co.uk,South West,91514,High
C000040,Customer 0040,2000-06-13,customer40@example.co.uk,Wales,86042,Low
C000041,Customer 0041,1994-12-21,customer41@example.co.uk,North West,62306,Low
C000042,Customer 0042,2005-12-19,customer42@example.co.uk,Wales,32322,Low
C000043,Customer 0043,2008-01-23,customer43@example.co.uk,Wales,31071,High
C000044,Customer 0044,2005-06-27,customer44@example.co.uk,North West,38483,Low
C000045,Customer 0045,2011-05-18,customer45@example.co.uk,Midlands,43643,Low
C000046,Customer 0046,2016-11-28,customer46@example.co.uk,Scotland,49760,High
C000047,Customer 0047,2002-01-24,customer47@example.co.uk,Scotland,48365,Medium
C000048,Customer 0048,2007-05-20,customer48@example.co.uk,Midlands,70944,Low
C000049,Customer 0049,1987-01-15,customer49@example.co.uk,South West,37860,Low
C000050,Customer 0050,1994-06-28,customer50@example.co.uk,North West,24757,Medium
C000051,Customer 0051,2015-12-02,customer51@example.co.uk,Scotland,50864,Low
C000052,Customer 0052,1985-07-29,customer52@example.co.uk,Wales,29716,Low
C000053,Customer 0053,1994-11-04,customer53@example.co.uk,South West,65309,Low
C000054,Customer 0054,1990-02-06,customer54@example.co.uk,Scotland,85624,Low
C000055,Customer 0055,2005-05-20,customer55@example.co.uk,Wales,83953,Low
C000056,Customer 0056,1988-07-07,customer56@example.co.uk,Scotland,75354,Low
C000057,Customer 0057,2002-08-10,customer57@example.co.uk,Midlands,78498,Low
C000058,Customer 0058,2013-02-25,customer58@example.co.uk,London,29100,Medium
C000059,Customer 0059,1999-05-22,customer59@example.co.uk,Wales,29944,Low
C000060,Customer 0060,1992-09-12,customer60@example.co.uk,North West,36322,Low
C000061,Customer 0061,1992-05-25,customer61@example.co.uk,South West,80800,Low
C000062,Customer 0062,1987-07-20,customer62@example.co.uk,Midlands,82637,Low
C000063,Customer 0063,2013-06-02,customer63@example.co.uk,North West,94132,Low
C000064,Customer 0064,1994-10-08,customer64@example.co.uk,South East,23934,High
C000065,Customer 0065,1993-10-03,customer65@example.co.uk,Wales,75269,Low
C000066,Customer 0066,1991-07-21,customer66@example.co.uk,Midlands,74565,High
C000067,Customer 0067,1996-01-24,customer67@example.co.uk,Wales,22282,High
C000068,Customer 0068,2015-05-31,customer68@example.co.uk,Scotland,81638,Low
C000069,Customer 0069,2005-12-30,customer69@example.co.uk,South East,94845,Medium
C000070,Customer 0070,1986-10-16,customer70@example.co.uk,North West,46890,Low
C000071,Customer 0071,1998-03-27,customer71@example.co.uk,London,93066,Low
C000072,Customer 0072,2006-09-21,customer72@example.co.uk,Wales,28572,Medium
C000073,Customer 0073,2006-12-12,customer73@example.co.uk,London,91615,Low
C000074,Customer 0074,1987-03-20,customer74@example.co.uk,Scotland,46356,Low
C000075,Customer 0075,2009-09-20,customer75@example.co.uk,South East,52828,Low
C000076,Customer 0076,2002-12-21,customer76@example.co.uk,Scotland,27209,Medium
C000077,Customer 0077,1995-11-12,customer77@example.co.uk,South East,90522,Low
C000078,Customer 0078,2001-12-02,customer78@example.co.uk,South East,63180,Low
C000079,Customer 0079,1987-06-03,customer79@example.co.uk,London,61321,Low
C000080,Customer 0080,2009-06-03,customer80@example.co.uk,London,82068,Medium
C000081,Customer 0081,2006-11-10,customer81@example.co.uk,South West,31602,Low
C000082,Customer 0082,1987-04-03,customer82@example.co.uk,South East,39361,High
C000083,Customer 0083,2003-10-28,customer83@example.co.uk,Wales,70434,Low
C000084,Customer 0084,2011-08-09,customer84@example.co.uk,Wales,93200,Medium
C000085,Customer 0085,2009-01-16,customer85@example.co.uk,South West,91329,Low
C000086,Customer 0086,1990-03-11,customer86@example.co.uk,South West,35577,High
C000087,Customer 0087,2008-12-25,customer87@example.co.uk,South East,37129,High
C000088,Customer 0088,1993-08-12,customer88@example.co.uk,Scotland,57697,Low
C000089,Customer 0089,2012-08-13,customer89@example.co.uk,Wales,66942,Low
C000090,Customer 0090,1995-06-07,customer90@example.co.uk,Wales,56600,Low
C000091,Customer 0091,2003-03-02,customer91@example.co.uk,Wales,28658,Low
C000092,Customer 0092,1999-02-16,customer92@example.co.uk,Wales,58265,Low
C000093,Customer 0093,1995-12-01,customer93@example.co.uk,South East,39146,Medium
C000094,Customer 0094,2003-05-09,customer94@example.co.uk,North West,79912,Medium
C000095,Customer 0095,2015-03-01,customer95@example.co.uk,South East,23267,Low
